index_col,x,groundlevel,bottom_unsat,thickness_unsat,position,lithology,staring_code,remark,thickness_top_clay,thickness_model
Os_dp941_binnenberm,-25.0,2.3,-0.2,2.6,binnenberm,"Lab classificatie.: Zand, matig fijn, zwak siltig grijs",O02,"Lab classificatie geeft onder NAP -0,28 m grover zand, dat zit lager dan de onverzadigde zone.
Geen kleibekleding, maar verharding van hoogovenslakken.",0,2.6
Os_dp941_binnentalud,-12.0,5.2,-0.2,5.4,binnentalud,Geen boring beschikbaar,O05,Kruin wordt aangehouden,0.6,4.8
Os_dp941_kruin,-2.0,7.9,-0.2,8.1,kruin,"Veld classificatie:  Zand, matig fijn, zwak siltig, resten schelpen grijs-bruin; Lab classificatie.: Zand, matig grof, zwak siltig grijs",O05,Broloket bevat veldclassificatie. Lab classificatie geeft grover zand. Die maatgevend gehouden boven veld classificatie.,0.6,7.5
